iter	Logloss
0	0.6883432007
1	0.6834975433
2	0.6801620483
3	0.6765055847
4	0.6696120453
5	0.6665039063
6	0.6613830566
7	0.6588427734
8	0.6541746521
9	0.6496922302
10	0.6458963776
11	0.6422108459
12	0.6372599411
13	0.6353801346
14	0.6323332214
15	0.6269021606
16	0.6210227203
17	0.615400238
18	0.6125646973
19	0.6106822205
20	0.6043532181
21	0.6003781128
22	0.5973488235
23	0.5949099731
24	0.5883195496
25	0.5844512558
26	0.5812865448
27	0.5790442657
28	0.5763336182
29	0.5736704254
30	0.5706263733
31	0.5671957397
32	0.5639427567
33	0.5611463165
34	0.5585235596
35	0.5562255096
36	0.5530109406
37	0.5487269592
38	0.5462816238
39	0.5430571365
40	0.5399429321
41	0.5375837326
42	0.5335997772
43	0.5305246735
44	0.526340332
45	0.5250174713
46	0.5218411255
47	0.5200773621
48	0.5181093597
49	0.5149075317
50	0.5122479248
51	0.5087104797
52	0.5067005539
53	0.5044001007
54	0.5027287292
55	0.4992275238
56	0.4958296967
57	0.4928489304
58	0.4902092361
59	0.4872757721
60	0.4857321167
61	0.4839053345
62	0.4828957367
63	0.4812864685
64	0.4788988495
65	0.4772297668
66	0.4754777145
67	0.4735000229
68	0.4716106415
69	0.4688296509
70	0.4688254547
71	0.4662979507
72	0.4639794922
73	0.4629935074
74	0.4595059967
75	0.4583633423
76	0.456434021
77	0.4553207397
78	0.4526935577
79	0.4507956696
80	0.449261322
81	0.4482551956
82	0.4469296646
83	0.4454364777
84	0.4445295334
85	0.4428752899
86	0.4409205627
87	0.438224411
88	0.4359729767
89	0.4340690613
90	0.4312406921
91	0.4288664627
92	0.4267079926
93	0.4247447205
94	0.4229285812
95	0.4216149902
96	0.4200204849
97	0.418946991
98	0.4181988144
99	0.4171596527
100	0.4146487427
101	0.4137282181
102	0.4119794846
103	0.4105043793
104	0.4088945007
105	0.4080173492
106	0.4066074371
107	0.4050262451
108	0.4026366425
109	0.4010611343
110	0.3990312195
111	0.3976272964
112	0.3965480804
113	0.3955310822
114	0.3955029297
115	0.3946027374
116	0.3928739166
117	0.3918234634
118	0.3898020172
119	0.3874871826
120	0.3859799576
121	0.384755249
122	0.3836623764
123	0.3824185944
124	0.3808799744
125	0.3800500488
126	0.3791844177
127	0.3769677734
128	0.3762850189
129	0.3752481079
130	0.3738358307
131	0.3726249695
132	0.3707953644
133	0.3694723892
134	0.3681909561
135	0.3672205353
136	0.365574379
137	0.3642058563
138	0.3626531982
139	0.3620902634
140	0.3592779922
141	0.3572809219
142	0.3560994339
143	0.3549147797
144	0.3533327484
145	0.3515480804
146	0.3502170563
147	0.3490555573
148	0.3480547714
149	0.345717392
150	0.3442961884
151	0.3431982422
152	0.3423265076
153	0.3408170319
154	0.3388260651
155	0.338075943
156	0.3362748718
157	0.3350429153
158	0.3345070648
159	0.3335273743
160	0.3325467682
161	0.3318573761
162	0.3308057022
163	0.3278922272
164	0.3262092972
165	0.3255450439
166	0.3247954941
167	0.3224650192
168	0.3214360046
169	0.3209804916
170	0.3202863312
171	0.3184594154
172	0.3172697449
173	0.3162005806
174	0.3151000214
175	0.3144567108
176	0.3130320168
177	0.311453495
178	0.3106010628
179	0.3098398972
180	0.309075222
181	0.3075827789
182	0.3055998039
183	0.3045738602
184	0.3038101959
185	0.3024378777
186	0.299297657
187	0.2979210091
188	0.2965854263
189	0.2958416367
190	0.2948484612
191	0.293900795
192	0.2934937668
193	0.2917938995
194	0.2911543846
195	0.2906759262
196	0.2896677971
197	0.2888713264
198	0.2873560905
199	0.2855663872
200	0.2843945122
201	0.2833882713
202	0.2829125786
203	0.2821658707
204	0.2813314819
205	0.2809443474
206	0.2801694298
207	0.2788775253
208	0.277022934
209	0.2762610817
210	0.2759240532
211	0.2749872208
212	0.2744525146
213	0.2737841797
214	0.2724930573
215	0.2717253113
216	0.2712850952
217	0.2705005646
218	0.2693109512
219	0.2680654907
220	0.2677850914
221	0.2667852783
222	0.2651250648
223	0.2639827728
224	0.2630077744
225	0.2625021553
226	0.2621083832
227	0.2608830833
228	0.2595055962
229	0.2583387566
230	0.2573470688
231	0.2553412437
232	0.2547744179
233	0.2535645294
234	0.2527274895
235	0.2513350296
236	0.2498805237
237	0.2486248589
238	0.2477167892
239	0.2467584229
240	0.2460131264
241	0.2450913048
242	0.2447608757
243	0.2441991043
244	0.2434369469
245	0.2431191254
246	0.2423305893
247	0.2410417175
248	0.239999733
249	0.2392411423
250	0.2384900284
251	0.2377856255
252	0.2376311111
253	0.2372099304
254	0.2364804649
255	0.2358502579
256	0.235311985
257	0.2342131424
258	0.2337091255
259	0.232957058
260	0.2325377274
261	0.2316818047
262	0.2307104492
263	0.2296571541
264	0.2285569191
265	0.2283465385
266	0.2274083328
267	0.2263982582
268	0.2258887291
269	0.2253380775
270	0.224203949
271	0.2232404518
272	0.2213010788
273	0.2199520111
274	0.2191786003
275	0.218265667
276	0.2170800972
277	0.2168036652
278	0.2156155396
279	0.2154356956
280	0.213813343
281	0.2134853935
282	0.2124879456
283	0.2116357803
284	0.2111455536
285	0.2104226112
286	0.2096890259
287	0.2094270515
288	0.2084973145
289	0.2076415825
290	0.206619072
291	0.2057146454
292	0.20462286
293	0.2041019821
294	0.2027433395
295	0.2019237518
296	0.2009778404
297	0.2007399368
298	0.1997026062
299	0.1988933372
300	0.1984313965
301	0.1982129097
302	0.1975580788
303	0.1964307404
304	0.1959290695
305	0.1952067947
306	0.1944375229
307	0.1936513138
308	0.1932431793
309	0.1921936607
310	0.1913798523
311	0.1903005219
312	0.1896039772
313	0.1893115616
314	0.1891617012
315	0.1875094032
316	0.1860448647
317	0.1852762032
318	0.1845136642
319	0.1842260361
320	0.1834965515
321	0.1832904816
322	0.1823408127
323	0.1810318947
324	0.1801842117
325	0.179869709
326	0.1795608139
327	0.1793154526
328	0.1783679962
329	0.1772310448
330	0.1759674263
331	0.1750180244
332	0.1738945007
333	0.1730007553
334	0.1720110703
335	0.1714896011
