iter	Passed	Remaining
0	11	11569
1	21	10922
2	32	10760
3	39	9759
4	46	9302
5	55	9250
6	62	8849
7	68	8515
8	75	8300
9	81	8062
10	88	7995
11	95	7897
12	101	7683
13	106	7473
14	116	7647
15	125	7732
16	138	8032
17	153	8377
18	164	8479
19	170	8353
20	176	8234
21	180	8039
22	188	7989
23	194	7900
24	199	7782
25	205	7693
26	211	7605
27	216	7509
28	221	7422
29	227	7349
30	232	7273
31	237	7175
32	244	7160
33	249	7099
34	255	7032
35	260	6968
36	265	6900
37	270	6845
38	276	6814
39	281	6767
40	287	6715
41	292	6669
42	297	6612
43	302	6568
44	308	6554
45	315	6537
46	323	6567
47	331	6569
48	345	6699
49	353	6714
50	365	6804
51	377	6877
52	394	7043
53	401	7041
54	416	7162
55	422	7123
56	428	7095
57	434	7057
58	442	7064
59	457	7162
60	470	7240
61	484	7325
62	493	7345
63	498	7288
64	505	7266
65	513	7264
66	521	7265
67	529	7251
68	537	7254
69	544	7238
70	547	7161
71	553	7138
72	560	7111
73	565	7076
74	571	7049
75	578	7028
76	583	6999
77	589	6969
78	595	6937
79	602	6924
80	607	6892
81	613	6863
82	621	6869
83	628	6856
84	633	6823
85	639	6792
86	644	6765
87	650	6738
88	660	6761
89	671	6785
90	676	6760
91	688	6794
92	695	6783
93	702	6768
94	707	6741
95	715	6732
96	720	6707
97	732	6745
98	744	6772
99	757	6816
100	769	6845
101	779	6860
102	794	6919
103	809	6972
104	819	6981
105	830	7005
106	836	6980
107	842	6955
108	849	6941
109	855	6920
110	866	6938
111	880	6981
112	885	6949
113	893	6943
114	896	6897
115	905	6902
116	917	6923
117	923	6899
118	929	6882
119	936	6870
120	945	6869
121	951	6846
122	960	6847
123	970	6857
124	977	6843
125	984	6828
126	991	6813
127	996	6789
128	1001	6764
129	1007	6745
130	1015	6738
131	1025	6746
132	1031	6722
133	1038	6710
134	1043	6686
135	1051	6682
136	1057	6664
137	1063	6642
138	1069	6622
139	1074	6601
140	1081	6589
141	1086	6564
142	1092	6546
143	1097	6526
144	1102	6502
145	1110	6495
146	1118	6493
147	1128	6497
148	1136	6490
149	1141	6468
150	1153	6487
151	1169	6525
152	1184	6556
153	1196	6574
154	1207	6585
155	1220	6601
156	1226	6584
157	1233	6574
158	1239	6553
159	1245	6539
160	1254	6539
161	1264	6539
162	1273	6538
163	1284	6548
164	1291	6534
165	1297	6519
166	1305	6512
167	1311	6495
168	1317	6476
169	1322	6457
170	1330	6451
171	1344	6471
172	1357	6489
173	1364	6479
174	1372	6469
175	1377	6451
176	1388	6457
177	1394	6441
178	1400	6425
179	1406	6406
180	1413	6396
181	1420	6384
182	1427	6370
183	1433	6356
184	1439	6342
185	1452	6357
186	1469	6387
187	1484	6413
188	1492	6405
189	1503	6408
190	1510	6398
191	1519	6395
192	1529	6396
193	1540	6399
194	1551	6406
195	1560	6400
196	1566	6387
197	1573	6372
198	1579	6358
199	1585	6341
200	1593	6334
201	1599	6317
202	1603	6297
203	1612	6291
204	1620	6286
205	1632	6291
206	1640	6284
207	1646	6268
208	1659	6279
209	1669	6279
210	1678	6275
211	1682	6254
212	1687	6235
213	1693	6219
214	1698	6201
215	1704	6186
216	1710	6171
217	1716	6158
218	1722	6142
219	1727	6125
220	1733	6110
221	1739	6095
222	1747	6089
223	1754	6077
224	1760	6064
225	1767	6052
226	1775	6044
227	1781	6030
228	1787	6016
229	1793	6003
230	1799	5989
231	1804	5974
232	1810	5960
233	1816	5946
234	1822	5933
235	1828	5920
236	1835	5908
237	1842	5897
238	1848	5886
239	1856	5879
240	1861	5863
241	1867	5849
242	1874	5838
243	1879	5823
244	1885	5810
245	1891	5796
246	1897	5783
247	1904	5774
248	1911	5763
249	1917	5751
250	1923	5738
251	1929	5726
252	1934	5712
253	1946	5716
254	1956	5717
255	1965	5711
256	1972	5701
257	1977	5685
258	1982	5671
259	1990	5664
260	2000	5663
261	2006	5652
262	2012	5639
263	2017	5625
264	2027	5622
265	2032	5609
266	2038	5596
267	2044	5584
268	2049	5569
269	2057	5562
270	2065	5556
271	2070	5542
272	2076	5528
273	2081	5515
274	2087	5502
275	2094	5493
276	2100	5483
277	2106	5469
278	2111	5455
279	2116	5441
280	2121	5427
281	2126	5413
282	2134	5408
283	2139	5395
284	2144	5380
285	2149	5366
286	2155	5354
287	2160	5340
288	2166	5329
289	2171	5317
290	2177	5306
291	2183	5293
292	2188	5280
293	2193	5267
294	2199	5256
295	2206	5248
296	2214	5241
297	2219	5227
298	2224	5216
299	2230	5205
300	2240	5203
301	2246	5191
302	2252	5180
303	2262	5180
304	2269	5171
305	2279	5169
306	2285	5158
307	2291	5148
308	2297	5136
309	2302	5124
310	2310	5117
311	2319	5114
312	2326	5105
313	2331	5093
314	2337	5082
315	2343	5071
316	2354	5073
317	2364	5071
318	2370	5059
319	2375	5048
320	2380	5036
321	2385	5022
322	2390	5011
323	2397	5002
324	2402	4990
325	2408	4979
326	2414	4968
327	2420	4958
328	2427	4951
329	2434	4942
330	2439	4930
331	2444	4918
332	2450	4908
333	2455	4897
334	2462	4888
335	2467	4876
336	2473	4866
337	2479	4855
338	2484	4843
339	2489	4832
340	2496	4824
341	2504	4818
342	2510	4808
343	2516	4798
344	2524	4793
345	2533	4788
346	2541	4783
347	2551	4779
348	2557	4770
349	2565	4765
350	2573	4758
351	2582	4754
352	2596	4758
353	2605	4753
354	2621	4763
355	2634	4765
356	2641	4756
357	2646	4745
358	2654	4739
359	2662	4733
360	2678	4740
361	2688	4738
362	2694	4728
363	2705	4726
364	2713	4720
365	2724	4719
366	2733	4714
367	2739	4704
368	2748	4699
369	2755	4691
370	2763	4684
371	2773	4681
372	2778	4671
373	2784	4660
374	2790	4650
375	2802	4650
376	2820	4661
377	2835	4665
378	2843	4658
379	2855	4659
380	2864	4653
381	2877	4655
382	2887	4651
383	2893	4641
384	2899	4631
385	2904	4619
386	2910	4609
387	2915	4598
388	2921	4588
389	2926	4578
390	2931	4566
391	2936	4554
392	2941	4543
393	2948	4535
394	2957	4529
395	2965	4522
396	2970	4512
397	2976	4501
398	2983	4493
399	2989	4484
400	2995	4474
401	3001	4465
402	3009	4458
403	3018	4453
404	3039	4464
405	3050	4462
406	3062	4461
407	3084	4475
408	3092	4468
409	3114	4482
410	3133	4490
411	3143	4485
412	3156	4486
413	3167	4483
414	3177	4479
415	3190	4479
416	3201	4476
417	3208	4467
418	3214	4457
419	3220	4446
420	3237	4452
421	3248	4449
422	3260	4446
423	3276	4450
424	3287	4448
425	3299	4446
426	3312	4445
427	3328	4448
428	3336	4440
429	3350	4441
430	3363	4440
431	3384	4450
432	3401	4454
433	3420	4461
434	3433	4459
435	3449	4462
436	3466	4465
437	3483	4469
438	3493	4464
439	3502	4457
440	3509	4448
441	3524	4449
442	3539	4449
443	3551	4447
444	3559	4439
445	3564	4428
446	3570	4417
447	3579	4410
448	3591	4407
449	3605	4406
450	3618	4404
451	3634	4406
452	3654	4412
453	3661	4403
454	3668	4393
455	3673	4382
456	3680	4372
457	3685	4362
458	3691	4350
459	3696	4339
460	3702	4328
461	3710	4320
462	3722	4317
463	3729	4308
464	3734	4297
465	3740	4286
466	3745	4275
467	3750	4263
468	3758	4255
469	3766	4246
470	3772	4237
471	3777	4226
472	3782	4214
473	3790	4205
474	3795	4194
475	3800	4183
476	3805	4172
477	3810	4161
478	3816	4151
479	3823	4141
480	3831	4134
481	3837	4123
482	3842	4112
483	3848	4102
484	3853	4091
485	3861	4083
486	3866	4073
487	3872	4062
488	3877	4051
489	3882	4040
490	3887	4030
491	3895	4022
492	3902	4013
493	3908	4003
494	3915	3994
495	3926	3989
496	3939	3987
497	3948	3980
498	3955	3970
499	3960	3960
500	3968	3952
501	3974	3942
502	3980	3933
503	3985	3922
504	3990	3911
505	3998	3903
506	4004	3894
507	4011	3885
508	4017	3875
509	4023	3865
510	4028	3855
511	4033	3843
512	4038	3833
513	4045	3825
514	4051	3815
515	4057	3806
516	4064	3797
517	4071	3788
518	4076	3778
519	4083	3769
520	4089	3759
521	4093	3748
522	4098	3738
523	4103	3727
524	4109	3718
525	4115	3708
526	4121	3699
527	4127	3689
528	4132	3679
529	4138	3669
530	4142	3659
531	4150	3651
532	4155	3640
533	4160	3630
534	4165	3620
535	4170	3610
536	4176	3600
537	4181	3590
538	4186	3580
539	4191	3570
540	4199	3562
541	4204	3553
542	4210	3543
543	4216	3534
544	4221	3524
545	4226	3514
546	4234	3506
547	4240	3497
548	4246	3488
549	4251	3478
550	4257	3469
551	4264	3461
552	4273	3454
553	4283	3448
554	4293	3442
555	4306	3439
556	4312	3430
557	4319	3421
558	4326	3413
