symbol,status,parquet,reasons
AACT,FAIL,raw/Stock_parquet/AACT_1H.parquet,net_to_gross too low: 0.29368868516822294 < 0.6;avg_net_trade_return too low: 5.7367792762695836e-05 < 8e-05;turnover_per_day too high: 9.26237007371129 > 1.0;cost_stress_failed sharpe=-2.6220886575599214
AAM,FAIL,raw/Stock_parquet/AAM_1H.parquet,turnover_per_day too high: 4.35227467708855 > 1.0
AAON,PASS,raw/Stock_parquet/AAON_1H.parquet,
AATC,PASS,raw/Stock_parquet/AATC_1H.parquet,
AAXJ,PASS,raw/Stock_parquet/AAXJ_1H.parquet,
ABBV,FAIL,raw/Stock_parquet/ABBV_1H.parquet,turnover_per_day too high: 1.6364428985330874 > 1.0
ABLLL,MISSING_PARQUET,,
ABM,FAIL,raw/Stock_parquet/ABM_1H.parquet,turnover_per_day too high: 1.2004669690722207 > 1.0
ABR_D,FAIL,raw/Stock_parquet/ABR_D_1H.parquet,sharpe too low: -0.10332741637776041 < 0.7;sortino too low: -0.07607759785551485 < 1.0;profit_factor too low: 0.9914822260280604 < 1.1;net_to_gross too low: -0.08065749002660304 < 0.6;avg_net_trade_return too low: -2.9475047131159188e-06 < 8e-05;turnover_per_day too high: 1.4980498004293088 > 1.0;cost_stress_failed sharpe=-1.4820518062756587
ABR_E,FAIL,raw/Stock_parquet/ABR_E_1H.parquet,avg_net_trade_return too low: 7.51513603747363e-05 < 8e-05
ABR_F,FAIL,raw/Stock_parquet/ABR_F_1H.parquet,sortino too low: 0.9346193271784201 < 1.0;net_to_gross too low: 0.5871534052310424 < 0.6;avg_net_trade_return too low: 4.130489262416894e-05 < 8e-05;cost_stress_failed sharpe=0.3912390549410095
ABT,PASS,raw/Stock_parquet/ABT_1H.parquet,
ACA,PASS,raw/Stock_parquet/ACA_1H.parquet,
ACEL,FAIL,raw/Stock_parquet/ACEL_1H.parquet,net_to_gross too low: 0.5664452207609512 < 0.6;avg_net_trade_return too low: 5.7383593131670694e-05 < 8e-05;turnover_per_day too high: 1.8635500759080608 > 1.0;cost_stress_failed sharpe=0.3701587188431681
ACGL,PASS,raw/Stock_parquet/ACGL_1H.parquet,
ACGLN,FAIL,raw/Stock_parquet/ACGLN_1H.parquet,turnover_per_day too high: 1.2958814044512683 > 1.0
ACGLO,FAIL,raw/Stock_parquet/ACGLO_1H.parquet,net_to_gross too low: 0.43850640452644574 < 0.6;avg_net_trade_return too low: 5.9452921847237386e-05 < 8e-05;turnover_per_day too high: 4.15513999187461 > 1.0;cost_stress_failed sharpe=-0.500668645676693
ACI,FAIL,raw/Stock_parquet/ACI_1H.parquet,turnover_per_day too high: 1.1728135656594019 > 1.0
ACII,FAIL,raw/Stock_parquet/ACII_1H.parquet,
ACM,PASS,raw/Stock_parquet/ACM_1H.parquet,
ACN,FAIL,raw/Stock_parquet/ACN_1H.parquet,turnover_per_day too high: 1.151698168513154 > 1.0
ACOG,PASS,raw/Stock_parquet/ACOG_1H.parquet,
ACP,FAIL,raw/Stock_parquet/ACP_1H.parquet,turnover_per_day too high: 1.3568174689004362 > 1.0
ACP_A,FAIL,raw/Stock_parquet/ACP_A_1H.parquet,sortino too low: 0.7830114056916007 < 1.0;profit_factor too low: 1.0960882419634885 < 1.1;net_to_gross too low: 0.49739352864529085 < 0.6;avg_net_trade_return too low: 2.840593815114244e-05 < 8e-05;cost_stress_failed sharpe=-0.010408587549738509
ACQRU,PASS,raw/Stock_parquet/ACQRU_1H.parquet,
ACR_C,FAIL,raw/Stock_parquet/ACR_C_1H.parquet,sharpe too low: 0.5664078996968172 < 0.7;sortino too low: 0.4494146361261519 < 1.0;profit_factor too low: 1.049213182073733 < 1.1;net_to_gross too low: 0.4847082040810974 < 0.6;avg_net_trade_return too low: 2.2291125287611683e-05 < 8e-05;cost_stress_failed sharpe=-0.03566466881714102
ACR_D,PASS,raw/Stock_parquet/ACR_D_1H.parquet,
ACT,PASS,raw/Stock_parquet/ACT_1H.parquet,
ACTU,PASS,raw/Stock_parquet/ACTU_1H.parquet,
ACV,FAIL,raw/Stock_parquet/ACV_1H.parquet,turnover_per_day too high: 1.3843376084768437 > 1.0
ADC_A,FAIL,raw/Stock_parquet/ADC_A_1H.parquet,sharpe too low: -1.8998592374928651 < 0.7;sortino too low: -1.0789537586303652 < 1.0;profit_factor too low: 0.816112911647738 < 1.1;avg_net_trade_return too low: -7.242110174792236e-05 < 8e-05;turnover_per_day too high: 1.3765088968406254 > 1.0;cost_stress_failed sharpe=-2.8706399069074164
ADP,FAIL,raw/Stock_parquet/ADP_1H.parquet,avg_net_trade_return too low: 6.138912139234778e-05 < 8e-05;turnover_per_day too high: 1.12970535126992 > 1.0
ADUR,PASS,raw/Stock_parquet/ADUR_1H.parquet,
AEAE,PASS,raw/Stock_parquet/AEAE_1H.parquet,
AEFC,FAIL,raw/Stock_parquet/AEFC_1H.parquet,net_to_gross too low: 0.5104582161287025 < 0.6;avg_net_trade_return too low: 5.736991174954868e-05 < 8e-05;turnover_per_day too high: 2.6485133502065525 > 1.0;folds systematic failure: good_folds 0/3;cost_stress_failed sharpe=0.07338982286419614
AFB,FAIL,raw/Stock_parquet/AFB_1H.parquet,turnover_per_day too high: 2.6222493144041614 > 1.0
AFBI,PASS,raw/Stock_parquet/AFBI_1H.parquet,
AFGB,FAIL,raw/Stock_parquet/AFGB_1H.parquet,turnover_per_day too high: 3.466452605347494 > 1.0
AFGC,FAIL,raw/Stock_parquet/AFGC_1H.parquet,net_to_gross too low: 0.4453024919210453 < 0.6;avg_net_trade_return too low: 4.124051521778123e-05 < 8e-05;turnover_per_day too high: 2.3804191247032374 > 1.0;cost_stress_failed sharpe=-0.36241603274396994
AFGD,FAIL,raw/Stock_parquet/AFGD_1H.parquet,net_to_gross too low: 0.43286495059964747 < 0.6;avg_net_trade_return too low: 5.3837121441040824e-05 < 8e-05;turnover_per_day too high: 3.45243406325909 > 1.0;cost_stress_failed sharpe=-0.52978885212359
AFGE,PASS,raw/Stock_parquet/AFGE_1H.parquet,
AFRI,PASS,raw/Stock_parquet/AFRI_1H.parquet,
AGCO,PASS,raw/Stock_parquet/AGCO_1H.parquet,
AGM_A,PASS,raw/Stock_parquet/AGM_A_1H.parquet,
AGM_D,PASS,raw/Stock_parquet/AGM_D_1H.parquet,
AGM_E,FAIL,raw/Stock_parquet/AGM_E_1H.parquet,net_to_gross too low: 0.5521902687940292 < 0.6;avg_net_trade_return too low: 5.2327344727874477e-05 < 8e-05;turnover_per_day too high: 1.7430467670223115 > 1.0;cost_stress_failed sharpe=0.3444298647154185
AGM_F,FAIL,raw/Stock_parquet/AGM_F_1H.parquet,avg_net_trade_return too low: 7.967038600679382e-05 < 8e-05;turnover_per_day too high: 1.1214522245071379 > 1.0
AGM_G,PASS,raw/Stock_parquet/AGM_G_1H.parquet,
AGNC,PASS,raw/Stock_parquet/AGNC_1H.parquet,
